Ido,Idp,Fecha,Nom_art,Tipo_art,Servicio,Precio_art,Cantidad,Monto_trans,Tipo_trans,GPR,Hora_venta,Id_Orden,Id_Pagar,Ref
1.221,1.222,2022-01-04,Sandwich,Comida rapida,Domicilio,60.00,7,420.00,Efectivo,Sra.,Tarde/noche,1.221,1.222,1
2.221,2.222,2022-01-05,Aalopuri,Comida rapida,Domicilio,20.00,13,260.00,Virtual,Sr.,Tarde,2.221,2.222,2
3.221,3.222,2022-01-06,Panipuri,Comida rapida,Domicilio,20.00,6,120.00,Efectivo,Sra.,Tarde/noche,3.221,3.222,3
4.221,4.222,2022-01-07,Vadapav,Comida rapida,Domicilio,20.00,5,100.00,Efectivo,Sr.,Maniana,4.221,4.222,4
5.221,5.222,2022-01-07,Jugo cania de azucar,Bebidas,Restaurante,25.00,7,175.00,Efectivo,Sra.,Media noche,5.221,5.222,5
6.221,6.222,2022-01-07,Panipuri,Comida rapida,Domicilio,20.00,10,200.00,Virtual,Sr.,Noche,6.221,6.222,6
7.221,7.222,2022-01-07,Cafe frio,Bebidas,Domicilio,40.00,13,520.00,Efectivo,Sra.,Tarde/noche,7.221,7.222,7
8.221,8.222,2022-01-07,Cafe frio,Bebidas,Restaurante,40.00,6,240.00,Virtual,Sra.,Tarde/noche,8.221,8.222,8
9.221,9.222,2022-01-08,Frankie,Comida rapida,Domicilio,50.00,5,250.00,Virtual,Sra.,Maniana,9.221,9.222,9
10.221,10.222,2022-01-09,Sandwich,Comida rapida,Restaurante,60.00,15,900.00,Virtual,Sr.,Noche,10.221,10.222,10
11.221,11.222,2022-01-09,Panipuri,Comida rapida,Restaurante,20.00,2,40.00,Virtual,Sra.,Tarde/noche,11.221,11.222,11
12.221,12.222,2022-01-10,Vadapav,Comida rapida,Domicilio,20.00,4,80.00,Efectivo,Sra.,Tarde/noche,12.221,12.222,12
13.221,13.222,2022-01-10,Aalopuri,Comida rapida,Domicilio,20.00,9,180.00,Efectivo,Sra.,Tarde/noche,13.221,13.222,13
14.221,14.222,2022-01-10,Panipuri,Comida rapida,Restaurante,20.00,5,100.00,Virtual,Sr.,Maniana,14.221,14.222,14
15.221,15.222,2022-01-10,Sandwich,Comida rapida,Restaurante,60.00,13,780.00,Efectivo,Sra.,Maniana,15.221,15.222,15
16.221,16.222,2022-01-11,Aalopuri,Comida rapida,Domicilio,20.00,12,240.00,Virtual,Sr.,Maniana,16.221,16.222,16
